Frame,Visibility,X,Y
344,-2,0,0
345,-2,0,0
346,-2,0,0
347,-2,0,0
348,-1,1104,86
349,-1,1121,100
350,-1,1140,119
351,-1,1157,141
352,-1,1179,165
353,-1,1200,191
354,-1,1224,225
355,-1,1249,263
356,-1,1275,301
