Frame,Visibility,X,Y
351,-1,915,268
352,-1,915,268
353,-1,915,268
354,-1,915,268
355,-1,915,268
356,-1,915,268
357,-1,913,265
358,-1,892,287
359,-1,879,238
360,-1,882,187
361,-1,855,184
362,-1,846,192
363,-1,834,188
364,-1,841,183
365,-1,840,189
366,-1,840,189
367,-1,842,198
368,-1,847,206
369,-1,848,208
370,-1,850,196
371,-1,848,184
372,-1,850,177
373,-1,853,165
374,-1,853,158
375,-1,853,153
376,-1,855,150
377,-1,855,143
378,-1,854,147
379,-1,862,148
380,-1,867,154
381,-1,870,164
382,-1,889,170
383,-1,912,173
384,-1,891,207
385,-1,884,245
386,-1,898,260
387,-1,915,268
388,-1,929,294
389,-1,932,302
390,-1,909,279
391,-1,903,216
392,-1,904,220
393,-1,922,220
394,-1,921,248
395,-1,923,267
396,-1,929,303
397,-1,932,330
398,-1,938,363
399,-1,950,397
400,-1,955,412
401,-1,960,378
402,-1,960,349
403,-1,964,324
404,-1,966,305
405,-1,967,286
406,-1,972,267
407,-1,972,255
408,-1,981,253
409,-1,992,215
410,-1,990,183
411,-1,985,200
412,-1,993,196
413,-1,987,176
414,-1,983,166
415,-1,985,158
416,-1,990,150
417,-1,990,150
418,-1,990,150
419,-1,994,150
420,-1,994,150
421,-1,994,150
422,-1,988,151
423,-1,992,156
424,-1,997,168
425,-1,992,183
426,-1,983,187
427,-1,970,194
428,-1,952,223
429,-1,924,245
430,-1,917,255
431,-1,915,268
432,-1,915,268
433,-1,932,260
434,-1,955,268
435,-1,968,266
436,-1,988,281
437,-1,985,290
438,-1,1006,286
439,-1,1003,274
440,-1,1005,260
441,-1,1005,251
442,-1,1007,239
443,-1,1009,234
444,-1,1007,225
445,-1,1009,218
446,-1,1008,213
447,-1,1010,206
448,-1,1003,216
449,-1,998,219
450,-1,996,217
451,-1,978,213
452,-1,979,253
453,-1,895,294
454,-1,819,313
455,-1,781,326
456,-1,785,276
457,-1,801,329
458,-1,814,349
459,-1,775,387
460,-1,742,411
461,-1,717,442
462,-1,690,470
463,-1,647,505
464,-1,613,517
465,-1,577,527
466,-1,535,543
467,-1,495,557
468,-1,453,574
469,-1,412,595
470,-1,368,618
471,-1,327,642
472,-1,285,670
473,-1,247,699
474,-1,232,709
475,-1,266,738
476,-1,239,777
477,-1,244,811
478,-1,181,843
479,-1,242,863
480,-1,244,848
481,-1,263,848
482,-1,330,786
483,-1,431,707
484,-1,537,650
485,-1,704,611
486,-1,687,722
487,-1,658,726
488,-1,650,636
489,-1,533,742
490,-1,494,794
491,-1,430,855
492,-1,403,921
493,-1,393,956
494,-1,383,984
495,-1,375,997
496,-1,401,986
497,-1,423,975
498,-1,450,967
499,-1,473,956
500,-1,502,948
501,-1,500,938
502,-1,518,921
503,-1,516,906
504,-1,563,855
505,-1,582,781
506,-1,535,743
507,-1,699,680
508,-1,796,604
509,-1,914,480
510,-1,915,268
511,-1,915,268
512,-1,915,268
513,-1,915,268
514,-1,915,268
515,-1,915,268
516,-1,915,268
517,-1,915,268
518,-1,915,268
519,-1,915,268
520,-1,915,268
521,-1,915,268
522,-1,915,268
523,-1,915,268
524,-1,915,268
525,-1,915,268
526,-1,915,268
527,-1,915,268
528,-1,915,268
529,-1,915,268
530,-1,915,268
531,-1,915,268
532,-1,915,268
533,-1,915,268
534,-1,915,268
535,-1,915,268
536,-1,915,268
537,-1,915,268
538,-1,915,268
539,-1,915,268
540,-1,915,268
541,-1,915,268
542,-1,915,268
543,-1,915,268
544,-1,915,268
545,-1,915,268
546,-1,915,268
547,-1,915,268
548,-1,915,268
549,-1,915,268
550,-1,915,268
551,-1,915,268
552,-1,915,268
